"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80001;"Água Rasa";2020;"00 a 03 anos";3.348
80001;"Água Rasa";2020;"04 a 05 anos";2.003
80001;"Água Rasa";2020;"06 anos";994
80001;"Água Rasa";2020;"07 a 10 anos";3.597
80001;"Água Rasa";2020;"11 a 14 anos";2.929
80001;"Água Rasa";2020;"15 a 17 anos";2.327
80001;"Água Rasa";2020;"18 a 19 anos";1.690
80001;"Água Rasa";2020;"Total da Seleção";16.888
80001;"Água Rasa";2020;"Total Geral da População";82.564
80002;"Alto de Pinheiros";2020;"00 a 03 anos";1.223
80002;"Alto de Pinheiros";2020;"04 a 05 anos";678
80002;"Alto de Pinheiros";2020;"06 anos";345
80002;"Alto de Pinheiros";2020;"07 a 10 anos";1.371
80002;"Alto de Pinheiros";2020;"11 a 14 anos";1.331
80002;"Alto de Pinheiros";2020;"15 a 17 anos";1.017
80002;"Alto de Pinheiros";2020;"18 a 19 anos";722
80002;"Alto de Pinheiros";2020;"Total da Seleção";6.687
80002;"Alto de Pinheiros";2020;"Total Geral da População";40.962
80003;"Anhanguera";2020;"00 a 03 anos";4.799
80003;"Anhanguera";2020;"04 a 05 anos";2.373
80003;"Anhanguera";2020;"06 anos";1.164
80003;"Anhanguera";2020;"07 a 10 anos";4.489
80003;"Anhanguera";2020;"11 a 14 anos";4.437
80003;"Anhanguera";2020;"15 a 17 anos";3.655
80003;"Anhanguera";2020;"18 a 19 anos";2.801
80003;"Anhanguera";2020;"Total da Seleção";23.718
80003;"Anhanguera";2020;"Total Geral da População";84.719
80004;"Aricanduva";2020;"00 a 03 anos";3.812
80004;"Aricanduva";2020;"04 a 05 anos";2.123
80004;"Aricanduva";2020;"06 anos";1.056
80004;"Aricanduva";2020;"07 a 10 anos";3.977
80004;"Aricanduva";2020;"11 a 14 anos";3.613
80004;"Aricanduva";2020;"15 a 17 anos";2.937
80004;"Aricanduva";2020;"18 a 19 anos";2.189
80004;"Aricanduva";2020;"Total da Seleção";19.707
80004;"Aricanduva";2020;"Total Geral da População";85.868
80005;"Artur Alvim";2020;"00 a 03 anos";4.512
80005;"Artur Alvim";2020;"04 a 05 anos";2.491
80005;"Artur Alvim";2020;"06 anos";1.243
80005;"Artur Alvim";2020;"07 a 10 anos";4.750
80005;"Artur Alvim";2020;"11 a 14 anos";4.381
80005;"Artur Alvim";2020;"15 a 17 anos";3.410
80005;"Artur Alvim";2020;"18 a 19 anos";2.520
80005;"Artur Alvim";2020;"Total da Seleção";23.307
80005;"Artur Alvim";2020;"Total Geral da População";100.462
80006;"Barra Funda";2020;"00 a 03 anos";726
80006;"Barra Funda";2020;"04 a 05 anos";447
80006;"Barra Funda";2020;"06 anos";221
80006;"Barra Funda";2020;"07 a 10 anos";785
80006;"Barra Funda";2020;"11 a 14 anos";597
80006;"Barra Funda";2020;"15 a 17 anos";462
80006;"Barra Funda";2020;"18 a 19 anos";316
80006;"Barra Funda";2020;"Total da Seleção";3.554
80006;"Barra Funda";2020;"Total Geral da População";16.115
80007;"Bela Vista";2020;"00 a 03 anos";2.992
80007;"Bela Vista";2020;"04 a 05 anos";1.833
80007;"Bela Vista";2020;"06 anos";897
80007;"Bela Vista";2020;"07 a 10 anos";3.059
80007;"Bela Vista";2020;"11 a 14 anos";2.077
80007;"Bela Vista";2020;"15 a 17 anos";1.499
80007;"Bela Vista";2020;"18 a 19 anos";1.026
80007;"Bela Vista";2020;"Total da Seleção";13.383
80007;"Bela Vista";2020;"Total Geral da População";73.235
80008;"Belém";2020;"00 a 03 anos";2.797
80008;"Belém";2020;"04 a 05 anos";1.863
80008;"Belém";2020;"06 anos";916
80008;"Belém";2020;"07 a 10 anos";3.063
80008;"Belém";2020;"11 a 14 anos";1.930
80008;"Belém";2020;"15 a 17 anos";1.440
80008;"Belém";2020;"18 a 19 anos";1.009
80008;"Belém";2020;"Total da Seleção";13.018
80008;"Belém";2020;"Total Geral da População";49.213
80009;"Bom Retiro";2020;"00 a 03 anos";2.127
