"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80001;"Água Rasa";2015;"00 a 03 anos";4.054
80001;"Água Rasa";2015;"04 a 05 anos";1.647
80001;"Água Rasa";2015;"06 anos";777
80001;"Água Rasa";2015;"07 a 10 anos";3.037
80001;"Água Rasa";2015;"11 a 14 anos";3.258
80001;"Água Rasa";2015;"15 a 17 anos";2.737
80001;"Água Rasa";2015;"18 a 19 anos";1.930
80001;"Água Rasa";2015;"Total da Seleção";17.440
80001;"Água Rasa";2015;"Total Geral da População";83.960
80002;"Alto de Pinheiros";2015;"00 a 03 anos";1.421
80002;"Alto de Pinheiros";2015;"04 a 05 anos";694
80002;"Alto de Pinheiros";2015;"06 anos";344
80002;"Alto de Pinheiros";2015;"07 a 10 anos";1.363
80002;"Alto de Pinheiros";2015;"11 a 14 anos";1.404
80002;"Alto de Pinheiros";2015;"15 a 17 anos";1.167
80002;"Alto de Pinheiros";2015;"18 a 19 anos";845
80002;"Alto de Pinheiros";2015;"Total da Seleção";7.238
80002;"Alto de Pinheiros";2015;"Total Geral da População";42.113
80003;"Anhanguera";2015;"00 a 03 anos";4.560
80003;"Anhanguera";2015;"04 a 05 anos";2.137
80003;"Anhanguera";2015;"06 anos";1.059
80003;"Anhanguera";2015;"07 a 10 anos";4.326
80003;"Anhanguera";2015;"11 a 14 anos";4.818
80003;"Anhanguera";2015;"15 a 17 anos";4.360
80003;"Anhanguera";2015;"18 a 19 anos";3.016
80003;"Anhanguera";2015;"Total da Seleção";24.276
80003;"Anhanguera";2015;"Total Geral da População";76.340
80004;"Aricanduva";2015;"00 a 03 anos";4.390
80004;"Aricanduva";2015;"04 a 05 anos";1.945
80004;"Aricanduva";2015;"06 anos";948
80004;"Aricanduva";2015;"07 a 10 anos";3.847
80004;"Aricanduva";2015;"11 a 14 anos";4.262
80004;"Aricanduva";2015;"15 a 17 anos";3.734
80004;"Aricanduva";2015;"18 a 19 anos";2.544
80004;"Aricanduva";2015;"Total da Seleção";21.670
80004;"Aricanduva";2015;"Total Geral da População";87.440
80005;"Artur Alvim";2015;"00 a 03 anos";5.180
80005;"Artur Alvim";2015;"04 a 05 anos";2.381
80005;"Artur Alvim";2015;"06 anos";1.162
80005;"Artur Alvim";2015;"07 a 10 anos";4.618
80005;"Artur Alvim";2015;"11 a 14 anos";4.933
80005;"Artur Alvim";2015;"15 a 17 anos";4.341
80005;"Artur Alvim";2015;"18 a 19 anos";2.986
80005;"Artur Alvim";2015;"Total da Seleção";25.601
80005;"Artur Alvim";2015;"Total Geral da População";102.575
80006;"Barra Funda";2015;"00 a 03 anos";862
80006;"Barra Funda";2015;"04 a 05 anos";331
80006;"Barra Funda";2015;"06 anos";152
80006;"Barra Funda";2015;"07 a 10 anos";569
80006;"Barra Funda";2015;"11 a 14 anos";569
80006;"Barra Funda";2015;"15 a 17 anos";423
80006;"Barra Funda";2015;"18 a 19 anos";291
80006;"Barra Funda";2015;"Total da Seleção";3.197
80006;"Barra Funda";2015;"Total Geral da População";15.200
80007;"Bela Vista";2015;"00 a 03 anos";3.525
80007;"Bela Vista";2015;"04 a 05 anos";1.284
80007;"Bela Vista";2015;"06 anos";568
80007;"Bela Vista";2015;"07 a 10 anos";2.018
80007;"Bela Vista";2015;"11 a 14 anos";1.960
80007;"Bela Vista";2015;"15 a 17 anos";1.587
80007;"Bela Vista";2015;"18 a 19 anos";1.136
80007;"Bela Vista";2015;"Total da Seleção";12.078
80007;"Bela Vista";2015;"Total Geral da População";71.680
80008;"Belém";2015;"00 a 03 anos";3.619
80008;"Belém";2015;"04 a 05 anos";1.231
80008;"Belém";2015;"06 anos";535
80008;"Belém";2015;"07 a 10 anos";1.906
80008;"Belém";2015;"11 a 14 anos";1.924
80008;"Belém";2015;"15 a 17 anos";1.566
80008;"Belém";2015;"18 a 19 anos";1.058
80008;"Belém";2015;"Total da Seleção";11.839
80008;"Belém";2015;"Total Geral da População";47.416
80009;"Bom Retiro";2015;"00 a 03 anos";2.552
80009;"Bom Retiro";2015;"04 a 05 anos";972
80009;"Bom Retiro";2015;"06 anos";444
80009;"Bom Retiro";2015;"07 a 10 anos";1.674
80009;"Bom Retiro";2015;"11 a 14 anos";1.726
80009;"Bom Retiro";2015;"15 a 17 anos";1.410
80009;"Bom Retiro";2015;"18 a 19 anos";961
80009;"Bom Retiro";2015;"Total da Seleção";9.739
80009;"Bom Retiro";2015;"Total Geral da População";36.771
80010;"Brás";2015;"00 a 03 anos";2.544
80010;"Brás";2015;"04 a 05 anos";806
80010;"Brás";2015;"06 anos";346
80010;"Brás";2015;"07 a 10 anos";1.280
80010;"Brás";2015;"11 a 14 anos";1.423
80010;"Brás";2015;"15 a 17 anos";1.154
80010;"Brás";2015;"18 a 19 anos";790
80010;"Brás";2015;"Total da Seleção";8.343
80010;"Brás";2015;"Total Geral da População";31.398
80011;"Brasilândia";2015;"00 a 03 anos";20.117
80011;"Brasilândia";2015;"04 a 05 anos";7.910
80011;"Brasilândia";2015;"06 anos";3.752
80011;"Brasilândia";2015;"07 a 10 anos";15.215
80011;"Brasilândia";2015;"11 a 14 anos";17.418
80011;"Brasilândia";2015;"15 a 17 anos";15.092
80011;"Brasilândia";2015;"18 a 19 anos";10.102
80011;"Brasilândia";2015;"Total da Seleção";89.606
80011;"Brasilândia";2015;"Total Geral da População";273.511
80012;"Butantã";2015;"00 a 03 anos";2.363
80012;"Butantã";2015;"04 a 05 anos";981
80012;"Butantã";2015;"06 anos";464
80012;"Butantã";2015;"07 a 10 anos";1.797
80012;"Butantã";2015;"11 a 14 anos";1.856
80012;"Butantã";2015;"15 a 17 anos";1.496
80012;"Butantã";2015;"18 a 19 anos";1.050
80012;"Butantã";2015;"Total da Seleção";10.007
80012;"Butantã";2015;"Total Geral da População";54.162
80013;"Cachoeirinha";2015;"00 a 03 anos";9.770
80013;"Cachoeirinha";2015;"04 a 05 anos";4.025
80013;"Cachoeirinha";2015;"06 anos";1.920
80013;"Cachoeirinha";2015;"07 a 10 anos";7.650
80013;"Cachoeirinha";2015;"11 a 14 anos";8.388
80013;"Cachoeirinha";2015;"15 a 17 anos";7.121
80013;"Cachoeirinha";2015;"18 a 19 anos";4.843
80013;"Cachoeirinha";2015;"Total da Seleção";43.717
80013;"Cachoeirinha";2015;"Total Geral da População";144.618
80014;"Cambuci";2015;"00 a 03 anos";2.128
80014;"Cambuci";2015;"04 a 05 anos";922
80014;"Cambuci";2015;"06 anos";438
80014;"Cambuci";2015;"07 a 10 anos";1.664
80014;"Cambuci";2015;"11 a 14 anos";1.650
80014;"Cambuci";2015;"15 a 17 anos";1.337
80014;"Cambuci";2015;"18 a 19 anos";902
80014;"Cambuci";2015;"Total da Seleção";9.041
80014;"Cambuci";2015;"Total Geral da População";39.134
80015;"Campo Belo";2015;"00 a 03 anos";2.943
80015;"Campo Belo";2015;"04 a 05 anos";1.297
80015;"Campo Belo";2015;"06 anos";621
80015;"Campo Belo";2015;"07 a 10 anos";2.393
80015;"Campo Belo";2015;"11 a 14 anos";2.376
80015;"Campo Belo";2015;"15 a 17 anos";1.860
80015;"Campo Belo";2015;"18 a 19 anos";1.244
80015;"Campo Belo";2015;"Total da Seleção";12.734
80015;"Campo Belo";2015;"Total Geral da População";64.827
80016;"Campo Grande";2015;"00 a 03 anos";4.919
80016;"Campo Grande";2015;"04 a 05 anos";2.342
80016;"Campo Grande";2015;"06 anos";1.147
80016;"Campo Grande";2015;"07 a 10 anos";4.516
80016;"Campo Grande";2015;"11 a 14 anos";4.658
80016;"Campo Grande";2015;"15 a 17 anos";3.983
80016;"Campo Grande";2015;"18 a 19 anos";2.745
80016;"Campo Grande";2015;"Total da Seleção";24.310
80016;"Campo Grande";2015;"Total Geral da População";104.246
80017;"Campo Limpo";2015;"00 a 03 anos";13.682
80017;"Campo Limpo";2015;"04 a 05 anos";6.210
80017;"Campo Limpo";2015;"06 anos";3.017
80017;"Campo Limpo";2015;"07 a 10 anos";11.924
80017;"Campo Limpo";2015;"11 a 14 anos";12.618
80017;"Campo Limpo";2015;"15 a 17 anos";11.034
80017;"Campo Limpo";2015;"18 a 19 anos";7.391
80017;"Campo Limpo";2015;"Total da Seleção";65.876
80017;"Campo Limpo";2015;"Total Geral da População";220.669
80018;"Cangaiba";2015;"00 a 03 anos";8.252
80018;"Cangaiba";2015;"04 a 05 anos";3.355
80018;"Cangaiba";2015;"06 anos";1.592
80018;"Cangaiba";2015;"07 a 10 anos";6.344
80018;"Cangaiba";2015;"11 a 14 anos";7.094
80018;"Cangaiba";2015;"15 a 17 anos";6.294
80018;"Cangaiba";2015;"18 a 19 anos";4.321
80018;"Cangaiba";2015;"Total da Seleção";37.252
80018;"Cangaiba";2015;"Total Geral da População";137.156
80019;"Capão Redondo";2015;"00 a 03 anos";18.910
80019;"Capão Redondo";2015;"04 a 05 anos";7.987
80019;"Capão Redondo";2015;"06 anos";3.849
80019;"Capão Redondo";2015;"07 a 10 anos";15.516
80019;"Capão Redondo";2015;"11 a 14 anos";17.171
80019;"Capão Redondo";2015;"15 a 17 anos";14.733
80019;"Capão Redondo";2015;"18 a 19 anos";9.879
80019;"Capão Redondo";2015;"Total da Seleção";88.045
80019;"Capão Redondo";2015;"Total Geral da População";282.923
80020;"Carrão";2015;"00 a 03 anos";3.701
80020;"Carrão";2015;"04 a 05 anos";1.635
80020;"Carrão";2015;"06 anos";797
80020;"Carrão";2015;"07 a 10 anos";3.215
80020;"Carrão";2015;"11 a 14 anos";3.541
80020;"Carrão";2015;"15 a 17 anos";3.082
80020;"Carrão";2015;"18 a 19 anos";2.153
80020;"Carrão";2015;"Total da Seleção";18.124
80020;"Carrão";2015;"Total Geral da População";84.435
80021;"Casa Verde";2015;"00 a 03 anos";4.849
80021;"Casa Verde";2015;"04 a 05 anos";1.958
80021;"Casa Verde";2015;"06 anos";923
80021;"Casa Verde";2015;"07 a 10 anos";3.614
80021;"Casa Verde";2015;"11 a 14 anos";3.898
80021;"Casa Verde";2015;"15 a 17 anos";3.312
80021;"Casa Verde";2015;"18 a 19 anos";2.256
80021;"Casa Verde";2015;"Total da Seleção";20.810
80021;"Casa Verde";2015;"Total Geral da População";86.001
80022;"Cidade Ademar";2015;"00 a 03 anos";18.152
80022;"Cidade Ademar";2015;"04 a 05 anos";7.576
80022;"Cidade Ademar";2015;"06 anos";3.612
80022;"Cidade Ademar";2015;"07 a 10 anos";14.285
80022;"Cidade Ademar";2015;"11 a 14 anos";15.482
80022;"Cidade Ademar";2015;"15 a 17 anos";13.246
80022;"Cidade Ademar";2015;"18 a 19 anos";9.011
80022;"Cidade Ademar";2015;"Total da Seleção";81.364
80022;"Cidade Ademar";2015;"Total Geral da População";277.070
80023;"Cidade Dutra";2015;"00 a 03 anos";12.011
80023;"Cidade Dutra";2015;"04 a 05 anos";5.047
80023;"Cidade Dutra";2015;"06 anos";2.435
80023;"Cidade Dutra";2015;"07 a 10 anos";9.883
80023;"Cidade Dutra";2015;"11 a 14 anos";11.101
80023;"Cidade Dutra";2015;"15 a 17 anos";9.635
80023;"Cidade Dutra";2015;"18 a 19 anos";6.543
80023;"Cidade Dutra";2015;"Total da Seleção";56.655
80023;"Cidade Dutra";2015;"Total Geral da População";198.943
80024;"Cidade Lider";2015;"00 a 03 anos";7.680
80024;"Cidade Lider";2015;"04 a 05 anos";3.333
80024;"Cidade Lider";2015;"06 anos";1.621
80024;"Cidade Lider";2015;"07 a 10 anos";6.591
80024;"Cidade Lider";2015;"11 a 14 anos";7.298
80024;"Cidade Lider";2015;"15 a 17 anos";6.177
80024;"Cidade Lider";2015;"18 a 19 anos";4.235
80024;"Cidade Lider";2015;"Total da Seleção";36.935
80024;"Cidade Lider";2015;"Total Geral da População";131.155
80025;"Cidade Tiradentes";2015;"00 a 03 anos";14.610
80025;"Cidade Tiradentes";2015;"04 a 05 anos";6.567
80025;"Cidade Tiradentes";2015;"06 anos";3.267
80025;"Cidade Tiradentes";2015;"07 a 10 anos";13.726
80025;"Cidade Tiradentes";2015;"11 a 14 anos";15.638
80025;"Cidade Tiradentes";2015;"15 a 17 anos";13.220
80025;"Cidade Tiradentes";2015;"18 a 19 anos";8.837
80025;"Cidade Tiradentes";2015;"Total da Seleção";75.865
80025;"Cidade Tiradentes";2015;"Total Geral da População";223.236
80026;"Consolação";2015;"00 a 03 anos";1.866
80026;"Consolação";2015;"04 a 05 anos";723
80026;"Consolação";2015;"06 anos";333
80026;"Consolação";2015;"07 a 10 anos";1.267
80026;"Consolação";2015;"11 a 14 anos";1.325
80026;"Consolação";2015;"15 a 17 anos";1.075
80026;"Consolação";2015;"18 a 19 anos";847
80026;"Consolação";2015;"Total da Seleção";7.436
80026;"Consolação";2015;"Total Geral da População";57.471
80027;"Cursino";2015;"00 a 03 anos";5.628
80027;"Cursino";2015;"04 a 05 anos";2.457
80027;"Cursino";2015;"06 anos";1.179
80027;"Cursino";2015;"07 a 10 anos";4.580
80027;"Cursino";2015;"11 a 14 anos";4.716
80027;"Cursino";2015;"15 a 17 anos";3.870
80027;"Cursino";2015;"18 a 19 anos";2.691
80027;"Cursino";2015;"Total da Seleção";25.121
80027;"Cursino";2015;"Total Geral da População";111.803
80028;"Ermelino Matarazzo";2015;"00 a 03 anos";7.007
80028;"Ermelino Matarazzo";2015;"04 a 05 anos";3.118
80028;"Ermelino Matarazzo";2015;"06 anos";1.512
80028;"Ermelino Matarazzo";2015;"07 a 10 anos";6.026
80028;"Ermelino Matarazzo";2015;"11 a 14 anos";6.469
80028;"Ermelino Matarazzo";2015;"15 a 17 anos";5.580
80028;"Ermelino Matarazzo";2015;"18 a 19 anos";3.799
80028;"Ermelino Matarazzo";2015;"Total da Seleção";33.511
80028;"Ermelino Matarazzo";2015;"Total Geral da População";116.471
80029;"Freguesia do Ó";2015;"00 a 03 anos";7.715
80029;"Freguesia do Ó";2015;"04 a 05 anos";3.118
80029;"Freguesia do Ó";2015;"06 anos";1.473
80029;"Freguesia do Ó";2015;"07 a 10 anos";5.842
80029;"Freguesia do Ó";2015;"11 a 14 anos";6.524
80029;"Freguesia do Ó";2015;"15 a 17 anos";5.834
80029;"Freguesia do Ó";2015;"18 a 19 anos";4.014
80029;"Freguesia do Ó";2015;"Total da Seleção";34.520
80029;"Freguesia do Ó";2015;"Total Geral da População";141.255
80030;"Grajaú";2015;"00 a 03 anos";26.280
80030;"Grajaú";2015;"04 a 05 anos";10.998
80030;"Grajaú";2015;"06 anos";5.306
80030;"Grajaú";2015;"07 a 10 anos";21.550
80030;"Grajaú";2015;"11 a 14 anos";24.338
80030;"Grajaú";2015;"15 a 17 anos";21.204
80030;"Grajaú";2015;"18 a 19 anos";14.307
80030;"Grajaú";2015;"Total da Seleção";123.983
80030;"Grajaú";2015;"Total Geral da População";375.467
80031;"Guaianases";2015;"00 a 03 anos";7.284
80031;"Guaianases";2015;"04 a 05 anos";3.021
80031;"Guaianases";2015;"06 anos";1.458
80031;"Guaianases";2015;"07 a 10 anos";5.966
80031;"Guaianases";2015;"11 a 14 anos";6.762
80031;"Guaianases";2015;"15 a 17 anos";5.756
