"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80001;"Água Rasa";2011;"00 a 03 anos";3.348
80001;"Água Rasa";2011;"04 a 05 anos";1.586
80001;"Água Rasa";2011;"06 anos";798
80001;"Água Rasa";2011;"07 a 10 anos";3.341
80001;"Água Rasa";2011;"11 a 14 anos";3.682
80001;"Água Rasa";2011;"15 a 17 anos";2.884
80001;"Água Rasa";2011;"18 a 19 anos";2.091
80001;"Água Rasa";2011;"Total da Seleção";17.730
80001;"Água Rasa";2011;"Total Geral da População";84.774
80002;"Alto de Pinheiros";2011;"00 a 03 anos";1.422
80002;"Alto de Pinheiros";2011;"04 a 05 anos";694
80002;"Alto de Pinheiros";2011;"06 anos";351
80002;"Alto de Pinheiros";2011;"07 a 10 anos";1.456
80002;"Alto de Pinheiros";2011;"11 a 14 anos";1.596
80002;"Alto de Pinheiros";2011;"15 a 17 anos";1.304
80002;"Alto de Pinheiros";2011;"18 a 19 anos";967
80002;"Alto de Pinheiros";2011;"Total da Seleção";7.790
80002;"Alto de Pinheiros";2011;"Total Geral da População";42.927
80003;"Anhanguera";2011;"00 a 03 anos";4.177
80003;"Anhanguera";2011;"04 a 05 anos";2.028
80003;"Anhanguera";2011;"06 anos";1.050
80003;"Anhanguera";2011;"07 a 10 anos";4.614
80003;"Anhanguera";2011;"11 a 14 anos";5.203
80003;"Anhanguera";2011;"15 a 17 anos";3.747
80003;"Anhanguera";2011;"18 a 19 anos";2.501
80003;"Anhanguera";2011;"Total da Seleção";23.320
80003;"Anhanguera";2011;"Total Geral da População";67.594
80004;"Aricanduva";2011;"00 a 03 anos";4.132
80004;"Aricanduva";2011;"04 a 05 anos";2.024
80004;"Aricanduva";2011;"06 anos";1.042
80004;"Aricanduva";2011;"07 a 10 anos";4.512
80004;"Aricanduva";2011;"11 a 14 anos";5.034
80004;"Aricanduva";2011;"15 a 17 anos";3.696
80004;"Aricanduva";2011;"18 a 19 anos";2.563
80004;"Aricanduva";2011;"Total da Seleção";23.003
80004;"Aricanduva";2011;"Total Geral da População";89.223
80005;"Artur Alvim";2011;"00 a 03 anos";5.020
80005;"Artur Alvim";2011;"04 a 05 anos";2.406
80005;"Artur Alvim";2011;"06 anos";1.229
80005;"Artur Alvim";2011;"07 a 10 anos";5.279
80005;"Artur Alvim";2011;"11 a 14 anos";5.885
80005;"Artur Alvim";2011;"15 a 17 anos";4.392
80005;"Artur Alvim";2011;"18 a 19 anos";3.064
80005;"Artur Alvim";2011;"Total da Seleção";27.275
80005;"Artur Alvim";2011;"Total Geral da População";104.772
80006;"Barra Funda";2011;"00 a 03 anos";633
80006;"Barra Funda";2011;"04 a 05 anos";293
80006;"Barra Funda";2011;"06 anos";141
80006;"Barra Funda";2011;"07 a 10 anos";546
80006;"Barra Funda";2011;"11 a 14 anos";538
80006;"Barra Funda";2011;"15 a 17 anos";417
80006;"Barra Funda";2011;"18 a 19 anos";325
80006;"Barra Funda";2011;"Total da Seleção";2.893
80006;"Barra Funda";2011;"Total Geral da População";14.535
80007;"Bela Vista";2011;"00 a 03 anos";2.429
80007;"Bela Vista";2011;"04 a 05 anos";1.048
80007;"Bela Vista";2011;"06 anos";500
80007;"Bela Vista";2011;"07 a 10 anos";1.961
80007;"Bela Vista";2011;"11 a 14 anos";2.107
80007;"Bela Vista";2011;"15 a 17 anos";1.733
80007;"Bela Vista";2011;"18 a 19 anos";1.559
80007;"Bela Vista";2011;"Total da Seleção";11.337
80007;"Bela Vista";2011;"Total Geral da População";69.861
80008;"Belém";2011;"00 a 03 anos";2.332
80008;"Belém";2011;"04 a 05 anos";997
80008;"Belém";2011;"06 anos";482
80008;"Belém";2011;"07 a 10 anos";1.928
80008;"Belém";2011;"11 a 14 anos";2.039
80008;"Belém";2011;"15 a 17 anos";1.504
80008;"Belém";2011;"18 a 19 anos";1.148
80008;"Belém";2011;"Total da Seleção";10.430
80008;"Belém";2011;"Total Geral da População";45.485
80009;"Bom Retiro";2011;"00 a 03 anos";1.874
80009;"Bom Retiro";2011;"04 a 05 anos";851
80009;"Bom Retiro";2011;"06 anos";418
80009;"Bom Retiro";2011;"07 a 10 anos";1.694
80009;"Bom Retiro";2011;"11 a 14 anos";1.783
80009;"Bom Retiro";2011;"15 a 17 anos";1.313
80009;"Bom Retiro";2011;"18 a 19 anos";1.000
80009;"Bom Retiro";2011;"Total da Seleção";8.933
80009;"Bom Retiro";2011;"Total Geral da População";34.397
80010;"Brás";2011;"00 a 03 anos";1.555
80010;"Brás";2011;"04 a 05 anos";703
80010;"Brás";2011;"06 anos";347
80010;"Brás";2011;"07 a 10 anos";1.415
80010;"Brás";2011;"11 a 14 anos";1.521
80010;"Brás";2011;"15 a 17 anos";1.140
80010;"Brás";2011;"18 a 19 anos";875
80010;"Brás";2011;"Total da Seleção";7.556
80010;"Brás";2011;"Total Geral da População";29.652
80011;"Brasilândia";2011;"00 a 03 anos";16.611
80011;"Brasilândia";2011;"04 a 05 anos";8.059
80011;"Brasilândia";2011;"06 anos";4.157
80011;"Brasilândia";2011;"07 a 10 anos";18.062
80011;"Brasilândia";2011;"11 a 14 anos";20.020
80011;"Brasilândia";2011;"15 a 17 anos";14.216
