"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80001;"Água Rasa";2016;"00 a 03 anos";3.912
80001;"Água Rasa";2016;"04 a 05 anos";1.715
80001;"Água Rasa";2016;"06 anos";818
80001;"Água Rasa";2016;"07 a 10 anos";3.144
80001;"Água Rasa";2016;"11 a 14 anos";3.196
80001;"Água Rasa";2016;"15 a 17 anos";2.656
80001;"Água Rasa";2016;"18 a 19 anos";1.878
80001;"Água Rasa";2016;"Total da Seleção";17.319
80001;"Água Rasa";2016;"Total Geral da População";83.683
80002;"Alto de Pinheiros";2016;"00 a 03 anos";1.379
80002;"Alto de Pinheiros";2016;"04 a 05 anos";694
80002;"Alto de Pinheiros";2016;"06 anos";345
80002;"Alto de Pinheiros";2016;"07 a 10 anos";1.366
80002;"Alto de Pinheiros";2016;"11 a 14 anos";1.391
80002;"Alto de Pinheiros";2016;"15 a 17 anos";1.137
80002;"Alto de Pinheiros";2016;"18 a 19 anos";819
80002;"Alto de Pinheiros";2016;"Total da Seleção";7.131
80002;"Alto de Pinheiros";2016;"Total Geral da População";41.882
80003;"Anhanguera";2016;"00 a 03 anos";4.612
80003;"Anhanguera";2016;"04 a 05 anos";2.188
80003;"Anhanguera";2016;"06 anos";1.082
80003;"Anhanguera";2016;"07 a 10 anos";4.364
80003;"Anhanguera";2016;"11 a 14 anos";4.747
80003;"Anhanguera";2016;"15 a 17 anos";4.222
80003;"Anhanguera";2016;"18 a 19 anos";2.969
80003;"Anhanguera";2016;"Total da Seleção";24.184
80003;"Anhanguera";2016;"Total Geral da População";77.950
80004;"Aricanduva";2016;"00 a 03 anos";4.273
80004;"Aricanduva";2016;"04 a 05 anos";1.980
80004;"Aricanduva";2016;"06 anos";971
80004;"Aricanduva";2016;"07 a 10 anos";3.876
80004;"Aricanduva";2016;"11 a 14 anos";4.128
80004;"Aricanduva";2016;"15 a 17 anos";3.564
80004;"Aricanduva";2016;"18 a 19 anos";2.468
80004;"Aricanduva";2016;"Total da Seleção";21.260
80004;"Aricanduva";2016;"Total Geral da População";87.128
80005;"Artur Alvim";2016;"00 a 03 anos";5.047
80005;"Artur Alvim";2016;"04 a 05 anos";2.401
80005;"Artur Alvim";2016;"06 anos";1.179
80005;"Artur Alvim";2016;"07 a 10 anos";4.650
80005;"Artur Alvim";2016;"11 a 14 anos";4.824
80005;"Artur Alvim";2016;"15 a 17 anos";4.142
80005;"Artur Alvim";2016;"18 a 19 anos";2.885
80005;"Artur Alvim";2016;"Total da Seleção";25.128
80005;"Artur Alvim";2016;"Total Geral da População";102.154
80006;"Barra Funda";2016;"00 a 03 anos";838
80006;"Barra Funda";2016;"04 a 05 anos";351
80006;"Barra Funda";2016;"06 anos";164
80006;"Barra Funda";2016;"07 a 10 anos";608
80006;"Barra Funda";2016;"11 a 14 anos";576
80006;"Barra Funda";2016;"15 a 17 anos";433
80006;"Barra Funda";2016;"18 a 19 anos";296
80006;"Barra Funda";2016;"Total da Seleção";3.266
80006;"Barra Funda";2016;"Total Geral da População";15.379
80007;"Bela Vista";2016;"00 a 03 anos";3.443
80007;"Bela Vista";2016;"04 a 05 anos";1.380
80007;"Bela Vista";2016;"06 anos";626
80007;"Bela Vista";2016;"07 a 10 anos";2.208
80007;"Bela Vista";2016;"11 a 14 anos";1.996
80007;"Bela Vista";2016;"15 a 17 anos";1.577
80007;"Bela Vista";2016;"18 a 19 anos";1.121
80007;"Bela Vista";2016;"Total da Seleção";12.351
80007;"Bela Vista";2016;"Total Geral da População";71.992
80008;"Belém";2016;"00 a 03 anos";3.472
80008;"Belém";2016;"04 a 05 anos";1.333
80008;"Belém";2016;"06 anos";597
80008;"Belém";2016;"07 a 10 anos";2.105
80008;"Belém";2016;"11 a 14 anos";1.937
80008;"Belém";2016;"15 a 17 anos";1.545
80008;"Belém";2016;"18 a 19 anos";1.052
80008;"Belém";2016;"Total da Seleção";12.041
80008;"Belém";2016;"Total Geral da População";47.772
80009;"Bom Retiro";2016;"00 a 03 anos";2.475
80009;"Bom Retiro";2016;"04 a 05 anos";1.031
80009;"Bom Retiro";2016;"06 anos";481
80009;"Bom Retiro";2016;"07 a 10 anos";1.781
80009;"Bom Retiro";2016;"11 a 14 anos";1.727
80009;"Bom Retiro";2016;"15 a 17 anos";1.394
80009;"Bom Retiro";2016;"18 a 19 anos";956
80009;"Bom Retiro";2016;"Total da Seleção";9.845
