"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80001;"Água Rasa";2017;"00 a 03 anos";3.772
80001;"Água Rasa";2017;"04 a 05 anos";1.783
80001;"Água Rasa";2017;"06 anos";860
80001;"Água Rasa";2017;"07 a 10 anos";3.253
80001;"Água Rasa";2017;"11 a 14 anos";3.131
80001;"Água Rasa";2017;"15 a 17 anos";2.571
80001;"Água Rasa";2017;"18 a 19 anos";1.831
80001;"Água Rasa";2017;"Total da Seleção";17.201
80001;"Água Rasa";2017;"Total Geral da População";83.406
80002;"Alto de Pinheiros";2017;"00 a 03 anos";1.340
80002;"Alto de Pinheiros";2017;"04 a 05 anos";689
80002;"Alto de Pinheiros";2017;"06 anos";345
80002;"Alto de Pinheiros";2017;"07 a 10 anos";1.367
80002;"Alto de Pinheiros";2017;"11 a 14 anos";1.376
80002;"Alto de Pinheiros";2017;"15 a 17 anos";1.107
80002;"Alto de Pinheiros";2017;"18 a 19 anos";794
80002;"Alto de Pinheiros";2017;"Total da Seleção";7.018
80002;"Alto de Pinheiros";2017;"Total Geral da População";41.651
80003;"Anhanguera";2017;"00 a 03 anos";4.660
80003;"Anhanguera";2017;"04 a 05 anos";2.237
80003;"Anhanguera";2017;"06 anos";1.103
80003;"Anhanguera";2017;"07 a 10 anos";4.401
80003;"Anhanguera";2017;"11 a 14 anos";4.673
80003;"Anhanguera";2017;"15 a 17 anos";4.079
80003;"Anhanguera";2017;"18 a 19 anos";2.929
80003;"Anhanguera";2017;"Total da Seleção";24.082
80003;"Anhanguera";2017;"Total Geral da População";79.594
80004;"Aricanduva";2017;"00 a 03 anos";4.156
80004;"Aricanduva";2017;"04 a 05 anos";2.018
80004;"Aricanduva";2017;"06 anos";992
80004;"Aricanduva";2017;"07 a 10 anos";3.903
80004;"Aricanduva";2017;"11 a 14 anos";3.996
80004;"Aricanduva";2017;"15 a 17 anos";3.398
80004;"Aricanduva";2017;"18 a 19 anos";2.395
80004;"Aricanduva";2017;"Total da Seleção";20.858
80004;"Aricanduva";2017;"Total Geral da População";86.815
80005;"Artur Alvim";2017;"00 a 03 anos";4.910
80005;"Artur Alvim";2017;"04 a 05 anos";2.427
80005;"Artur Alvim";2017;"06 anos";1.196
80005;"Artur Alvim";2017;"07 a 10 anos";4.679
80005;"Artur Alvim";2017;"11 a 14 anos";4.712
80005;"Artur Alvim";2017;"15 a 17 anos";3.949
80005;"Artur Alvim";2017;"18 a 19 anos";2.790
80005;"Artur Alvim";2017;"Total da Seleção";24.663
80005;"Artur Alvim";2017;"Total Geral da População";101.732
80006;"Barra Funda";2017;"00 a 03 anos";813
80006;"Barra Funda";2017;"04 a 05 anos";372
80006;"Barra Funda";2017;"06 anos";177
80006;"Barra Funda";2017;"07 a 10 anos";650
80006;"Barra Funda";2017;"11 a 14 anos";582
80006;"Barra Funda";2017;"15 a 17 anos";439
80006;"Barra Funda";2017;"18 a 19 anos";302
80006;"Barra Funda";2017;"Total da Seleção";3.335
80006;"Barra Funda";2017;"Total Geral da População";15.562
80007;"Bela Vista";2017;"00 a 03 anos";3.350
80007;"Bela Vista";2017;"04 a 05 anos";1.484
80007;"Bela Vista";2017;"06 anos";687
80007;"Bela Vista";2017;"07 a 10 anos";2.407
80007;"Bela Vista";2017;"11 a 14 anos";2.027
80007;"Bela Vista";2017;"15 a 17 anos";1.562
80007;"Bela Vista";2017;"18 a 19 anos";1.102
80007;"Bela Vista";2017;"Total da Seleção";12.619
80007;"Bela Vista";2017;"Total Geral da População";72.304
80008;"Belém";2017;"00 a 03 anos";3.318
80008;"Belém";2017;"04 a 05 anos";1.446
80008;"Belém";2017;"06 anos";667
80008;"Belém";2017;"07 a 10 anos";2.318
80008;"Belém";2017;"11 a 14 anos";1.943
80008;"Belém";2017;"15 a 17 anos";1.521
80008;"Belém";2017;"18 a 19 anos";1.044
80008;"Belém";2017;"Total da Seleção";12.257
80008;"Belém";2017;"Total Geral da População";48.130
80009;"Bom Retiro";2017;"00 a 03 anos";2.392
80009;"Bom Retiro";2017;"04 a 05 anos";1.094
80009;"Bom Retiro";2017;"06 anos";518
80009;"Bom Retiro";2017;"07 a 10 anos";1.897
80009;"Bom Retiro";2017;"11 a 14 anos";1.724
80009;"Bom Retiro";2017;"15 a 17 anos";1.373
80009;"Bom Retiro";2017;"18 a 19 anos";951
80009;"Bom Retiro";2017;"Total da Seleção";9.949
80009;"Bom Retiro";2017;"Total Geral da População";37.602
80010;"Brás";2017;"00 a 03 anos";2.304
80010;"Brás";2017;"04 a 05 anos";974
80010;"Brás";2017;"06 anos";445
80010;"Brás";2017;"07 a 10 anos";1.558
80010;"Brás";2017;"11 a 14 anos";1.364
80010;"Brás";2017;"15 a 17 anos";1.109
80010;"Brás";2017;"18 a 19 anos";777
80010;"Brás";2017;"Total da Seleção";8.531
80010;"Brás";2017;"Total Geral da População";32.049
80011;"Brasilândia";2017;"00 a 03 anos";19.242
80011;"Brasilândia";2017;"04 a 05 anos";8.738
80011;"Brasilândia";2017;"06 anos";4.194
80011;"Brasilândia";2017;"07 a 10 anos";16.043
80011;"Brasilândia";2017;"11 a 14 anos";16.136
80011;"Brasilândia";2017;"15 a 17 anos";13.835
80011;"Brasilândia";2017;"18 a 19 anos";9.665
80011;"Brasilândia";2017;"Total da Seleção";87.853
80011;"Brasilândia";2017;"Total Geral da População";276.889
80012;"Butantã";2017;"00 a 03 anos";2.220
80012;"Butantã";2017;"04 a 05 anos";1.058
80012;"Butantã";2017;"06 anos";512
80012;"Butantã";2017;"07 a 10 anos";1.932
80012;"Butantã";2017;"11 a 14 anos";1.826
80012;"Butantã";2017;"15 a 17 anos";1.449
80012;"Butantã";2017;"18 a 19 anos";1.016
80012;"Butantã";2017;"Total da Seleção";10.013
80012;"Butantã";2017;"Total Geral da População";54.035
80013;"Cachoeirinha";2017;"00 a 03 anos";9.223
80013;"Cachoeirinha";2017;"04 a 05 anos";4.327
80013;"Cachoeirinha";2017;"06 anos";2.093
80013;"Cachoeirinha";2017;"07 a 10 anos";8.014
80013;"Cachoeirinha";2017;"11 a 14 anos";7.915
80013;"Cachoeirinha";2017;"15 a 17 anos";6.594
80013;"Cachoeirinha";2017;"18 a 19 anos";4.615
80013;"Cachoeirinha";2017;"Total da Seleção";42.781
80013;"Cachoeirinha";2017;"Total Geral da População";145.334
80014;"Cambuci";2017;"00 a 03 anos";2.020
80014;"Cambuci";2017;"04 a 05 anos";982
80014;"Cambuci";2017;"06 anos";477
80014;"Cambuci";2017;"07 a 10 anos";1.802
80014;"Cambuci";2017;"11 a 14 anos";1.681
80014;"Cambuci";2017;"15 a 17 anos";1.318
80014;"Cambuci";2017;"18 a 19 anos";902
80014;"Cambuci";2017;"Total da Seleção";9.182
80014;"Cambuci";2017;"Total Geral da População";39.743
80015;"Campo Belo";2017;"00 a 03 anos";2.732
80015;"Campo Belo";2017;"04 a 05 anos";1.350
80015;"Campo Belo";2017;"06 anos";661
80015;"Campo Belo";2017;"07 a 10 anos";2.522
80015;"Campo Belo";2017;"11 a 14 anos";2.368
80015;"Campo Belo";2017;"15 a 17 anos";1.821
80015;"Campo Belo";2017;"18 a 19 anos";1.232
80015;"Campo Belo";2017;"Total da Seleção";12.686
80015;"Campo Belo";2017;"Total Geral da População";64.397
80016;"Campo Grande";2017;"00 a 03 anos";4.681
80016;"Campo Grande";2017;"04 a 05 anos";2.381
80016;"Campo Grande";2017;"06 anos";1.183
80016;"Campo Grande";2017;"07 a 10 anos";4.645
80016;"Campo Grande";2017;"11 a 14 anos";4.623
80016;"Campo Grande";2017;"15 a 17 anos";3.769
80016;"Campo Grande";2017;"18 a 19 anos";2.636
80016;"Campo Grande";2017;"Total da Seleção";23.918
80016;"Campo Grande";2017;"Total Geral da População";105.238
80017;"Campo Limpo";2017;"00 a 03 anos";13.223
80017;"Campo Limpo";2017;"04 a 05 anos";6.440
80017;"Campo Limpo";2017;"06 anos";3.159
80017;"Campo Limpo";2017;"07 a 10 anos";12.280
80017;"Campo Limpo";2017;"11 a 14 anos";12.259
80017;"Campo Limpo";2017;"15 a 17 anos";10.218
80017;"Campo Limpo";2017;"18 a 19 anos";7.084
80017;"Campo Limpo";2017;"Total da Seleção";64.663
80017;"Campo Limpo";2017;"Total Geral da População";223.940
80018;"Cangaiba";2017;"00 a 03 anos";7.807
80018;"Cangaiba";2017;"04 a 05 anos";3.640
80018;"Cangaiba";2017;"06 anos";1.753
80018;"Cangaiba";2017;"07 a 10 anos";6.690
80018;"Cangaiba";2017;"11 a 14 anos";6.656
80018;"Cangaiba";2017;"15 a 17 anos";5.710
80018;"Cangaiba";2017;"18 a 19 anos";4.057
80018;"Cangaiba";2017;"Total da Seleção";36.313
80018;"Cangaiba";2017;"Total Geral da População";137.547
80019;"Capão Redondo";2017;"00 a 03 anos";18.271
80019;"Capão Redondo";2017;"04 a 05 anos";8.579
80019;"Capão Redondo";2017;"06 anos";4.170
80019;"Capão Redondo";2017;"07 a 10 anos";16.163
80019;"Capão Redondo";2017;"11 a 14 anos";16.306
80019;"Capão Redondo";2017;"15 a 17 anos";13.719
80019;"Capão Redondo";2017;"18 a 19 anos";9.548
80019;"Capão Redondo";2017;"Total da Seleção";86.756
80019;"Capão Redondo";2017;"Total Geral da População";288.252
80020;"Carrão";2017;"00 a 03 anos";3.525
80020;"Carrão";2017;"04 a 05 anos";1.724
80020;"Carrão";2017;"06 anos";849
80020;"Carrão";2017;"07 a 10 anos";3.332
80020;"Carrão";2017;"11 a 14 anos";3.401
80020;"Carrão";2017;"15 a 17 anos";2.874
80020;"Carrão";2017;"18 a 19 anos";2.050
80020;"Carrão";2017;"Total da Seleção";17.755
80020;"Carrão";2017;"Total Geral da População";84.638
80021;"Casa Verde";2017;"00 a 03 anos";4.551
80021;"Casa Verde";2017;"04 a 05 anos";2.128
80021;"Casa Verde";2017;"06 anos";1.024
80021;"Casa Verde";2017;"07 a 10 anos";3.873
80021;"Casa Verde";2017;"11 a 14 anos";3.738
80021;"Casa Verde";2017;"15 a 17 anos";3.092
80021;"Casa Verde";2017;"18 a 19 anos";2.162
80021;"Casa Verde";2017;"Total da Seleção";20.568
80021;"Casa Verde";2017;"Total Geral da População";86.010
80022;"Cidade Ademar";2017;"00 a 03 anos";17.354
80022;"Cidade Ademar";2017;"04 a 05 anos";8.146
80022;"Cidade Ademar";2017;"06 anos";3.938
80022;"Cidade Ademar";2017;"07 a 10 anos";15.055
80022;"Cidade Ademar";2017;"11 a 14 anos";14.816
80022;"Cidade Ademar";2017;"15 a 17 anos";12.327
80022;"Cidade Ademar";2017;"18 a 19 anos";8.629
80022;"Cidade Ademar";2017;"Total da Seleção";80.265
80022;"Cidade Ademar";2017;"Total Geral da População";280.503
80023;"Cidade Dutra";2017;"00 a 03 anos";11.462
80023;"Cidade Dutra";2017;"04 a 05 anos";5.404
80023;"Cidade Dutra";2017;"06 anos";2.631
80023;"Cidade Dutra";2017;"07 a 10 anos";10.235
80023;"Cidade Dutra";2017;"11 a 14 anos";10.412
80023;"Cidade Dutra";2017;"15 a 17 anos";8.866
80023;"Cidade Dutra";2017;"18 a 19 anos";6.239
80023;"Cidade Dutra";2017;"Total da Seleção";55.249
80023;"Cidade Dutra";2017;"Total Geral da População";200.624
80024;"Cidade Lider";2017;"00 a 03 anos";7.408
80024;"Cidade Lider";2017;"04 a 05 anos";3.533
80024;"Cidade Lider";2017;"06 anos";1.729
80024;"Cidade Lider";2017;"07 a 10 anos";6.780
80024;"Cidade Lider";2017;"11 a 14 anos";6.924
80024;"Cidade Lider";2017;"15 a 17 anos";5.785
80024;"Cidade Lider";2017;"18 a 19 anos";4.077
80024;"Cidade Lider";2017;"Total da Seleção";36.236
80024;"Cidade Lider";2017;"Total Geral da População";132.787
80025;"Cidade Tiradentes";2017;"00 a 03 anos";14.531
80025;"Cidade Tiradentes";2017;"04 a 05 anos";6.888
80025;"Cidade Tiradentes";2017;"06 anos";3.405
80025;"Cidade Tiradentes";2017;"07 a 10 anos";13.714
80025;"Cidade Tiradentes";2017;"11 a 14 anos";14.621
80025;"Cidade Tiradentes";2017;"15 a 17 anos";12.381
80025;"Cidade Tiradentes";2017;"18 a 19 anos";8.611
80025;"Cidade Tiradentes";2017;"Total da Seleção";74.151
80025;"Cidade Tiradentes";2017;"Total Geral da População";228.131
80026;"Consolação";2017;"00 a 03 anos";1.875
80026;"Consolação";2017;"04 a 05 anos";828
80026;"Consolação";2017;"06 anos";388
80026;"Consolação";2017;"07 a 10 anos";1.420
80026;"Consolação";2017;"11 a 14 anos";1.320
80026;"Consolação";2017;"15 a 17 anos";1.055
80026;"Consolação";2017;"18 a 19 anos";788
80026;"Consolação";2017;"Total da Seleção";7.674
80026;"Consolação";2017;"Total Geral da População";57.449
80027;"Cursino";2017;"00 a 03 anos";5.304
80027;"Cursino";2017;"04 a 05 anos";2.596
80027;"Cursino";2017;"06 anos";1.269
80027;"Cursino";2017;"07 a 10 anos";4.867
80027;"Cursino";2017;"11 a 14 anos";4.680
80027;"Cursino";2017;"15 a 17 anos";3.730
80027;"Cursino";2017;"18 a 19 anos";2.606
80027;"Cursino";2017;"Total da Seleção";25.052
80027;"Cursino";2017;"Total Geral da População";112.578
80028;"Ermelino Matarazzo";2017;"00 a 03 anos";6.717
80028;"Ermelino Matarazzo";2017;"04 a 05 anos";3.250
80028;"Ermelino Matarazzo";2017;"06 anos";1.591
80028;"Ermelino Matarazzo";2017;"07 a 10 anos";6.192
80028;"Ermelino Matarazzo";2017;"11 a 14 anos";6.208
80028;"Ermelino Matarazzo";2017;"15 a 17 anos";5.169
80028;"Ermelino Matarazzo";2017;"18 a 19 anos";3.618
80028;"Ermelino Matarazzo";2017;"Total da Seleção";32.745
80028;"Ermelino Matarazzo";2017;"Total Geral da População";117.372
80029;"Freguesia do Ó";2017;"00 a 03 anos";7.248
80029;"Freguesia do Ó";2017;"04 a 05 anos";3.386
80029;"Freguesia do Ó";2017;"06 anos";1.629
80029;"Freguesia do Ó";2017;"07 a 10 anos";6.193
80029;"Freguesia do Ó";2017;"11 a 14 anos";6.126
80029;"Freguesia do Ó";2017;"15 a 17 anos";5.273
80029;"Freguesia do Ó";2017;"18 a 19 anos";3.755
80029;"Freguesia do Ó";2017;"Total da Seleção";33.610
80029;"Freguesia do Ó";2017;"Total Geral da População";140.796
80030;"Grajaú";2017;"00 a 03 anos";25.332
80030;"Grajaú";2017;"04 a 05 anos";11.825
80030;"Grajaú";2017;"06 anos";5.748
80030;"Grajaú";2017;"07 a 10 anos";22.312
80030;"Grajaú";2017;"11 a 14 anos";22.773
80030;"Grajaú";2017;"15 a 17 anos";19.472
80030;"Grajaú";2017;"18 a 19 anos";13.645
80030;"Grajaú";2017;"Total da Seleção";121.107
80030;"Grajaú";2017;"Total Geral da População";381.277
80031;"Guaianases";2017;"00 a 03 anos";7.037
80031;"Guaianases";2017;"04 a 05 anos";3.261
80031;"Guaianases";2017;"06 anos";1.582
80031;"Guaianases";2017;"07 a 10 anos";6.158
80031;"Guaianases";2017;"11 a 14 anos";6.298
80031;"Guaianases";2017;"15 a 17 anos";5.328
80031;"Guaianases";2017;"18 a 19 anos";3.762
80031;"Guaianases";2017;"Total da Seleção";33.426
80031;"Guaianases";2017;"Total Geral da População";107.809
80033;"Iguatemi";2017;"00 a 03 anos";9.634
80033;"Iguatemi";2017;"04 a 05 anos";4.430
80033;"Iguatemi";2017;"06 anos";2.148
80033;"Iguatemi";2017;"07 a 10 anos";8.386
80033;"Iguatemi";2017;"11 a 14 anos";8.668
80033;"Iguatemi";2017;"15 a 17 anos";7.416
80033;"Iguatemi";2017;"18 a 19 anos";5.237
80033;"Iguatemi";2017;"Total da Seleção";45.919
80033;"Iguatemi";2017;"Total Geral da População";143.150
80034;"Ipiranga";2017;"00 a 03 anos";5.232
