"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80001;"Água Rasa";2019;"00 a 03 anos";3.488
80001;"Água Rasa";2019;"04 a 05 anos";1.928
80001;"Água Rasa";2019;"06 anos";948
80001;"Água Rasa";2019;"07 a 10 anos";3.481
80001;"Água Rasa";2019;"11 a 14 anos";2.997
80001;"Água Rasa";2019;"15 a 17 anos";2.407
80001;"Água Rasa";2019;"18 a 19 anos";1.735
80001;"Água Rasa";2019;"Total da Seleção";16.984
80001;"Água Rasa";2019;"Total Geral da População";82.846
80002;"Alto de Pinheiros";2019;"00 a 03 anos";1.262
80002;"Alto de Pinheiros";2019;"04 a 05 anos";682
80002;"Alto de Pinheiros";2019;"06 anos";345
80002;"Alto de Pinheiros";2019;"07 a 10 anos";1.370
80002;"Alto de Pinheiros";2019;"11 a 14 anos";1.347
80002;"Alto de Pinheiros";2019;"15 a 17 anos";1.047
80002;"Alto de Pinheiros";2019;"18 a 19 anos";745
80002;"Alto de Pinheiros";2019;"Total da Seleção";6.798
80002;"Alto de Pinheiros";2019;"Total Geral da População";41.191
80003;"Anhanguera";2019;"00 a 03 anos";4.754
80003;"Anhanguera";2019;"04 a 05 anos";2.329
80003;"Anhanguera";2019;"06 anos";1.145
80003;"Anhanguera";2019;"07 a 10 anos";4.462
80003;"Anhanguera";2019;"11 a 14 anos";4.519
80003;"Anhanguera";2019;"15 a 17 anos";3.798
80003;"Anhanguera";2019;"18 a 19 anos";2.843
80003;"Anhanguera";2019;"Total da Seleção";23.850
80003;"Anhanguera";2019;"Total Geral da População";82.976
80004;"Aricanduva";2019;"00 a 03 anos";3.925
80004;"Aricanduva";2019;"04 a 05 anos";2.090
80004;"Aricanduva";2019;"06 anos";1.035
80004;"Aricanduva";2019;"07 a 10 anos";3.953
80004;"Aricanduva";2019;"11 a 14 anos";3.739
80004;"Aricanduva";2019;"15 a 17 anos";3.085
80004;"Aricanduva";2019;"18 a 19 anos";2.257
80004;"Aricanduva";2019;"Total da Seleção";20.084
80004;"Aricanduva";2019;"Total Geral da População";86.184
80005;"Artur Alvim";2019;"00 a 03 anos";4.646
80005;"Artur Alvim";2019;"04 a 05 anos";2.469
80005;"Artur Alvim";2019;"06 anos";1.229
80005;"Artur Alvim";2019;"07 a 10 anos";4.729
80005;"Artur Alvim";2019;"11 a 14 anos";4.491
80005;"Artur Alvim";2019;"15 a 17 anos";3.584
80005;"Artur Alvim";2019;"18 a 19 anos";2.608
80005;"Artur Alvim";2019;"Total da Seleção";23.756
80005;"Artur Alvim";2019;"Total Geral da População";100.887
80006;"Barra Funda";2019;"00 a 03 anos";756
80006;"Barra Funda";2019;"04 a 05 anos";420
80006;"Barra Funda";2019;"06 anos";206
80006;"Barra Funda";2019;"07 a 10 anos";738
80006;"Barra Funda";2019;"11 a 14 anos";593
80006;"Barra Funda";2019;"15 a 17 anos";453
80006;"Barra Funda";2019;"18 a 19 anos";313
80006;"Barra Funda";2019;"Total da Seleção";3.479
80006;"Barra Funda";2019;"Total Geral da População";15.927
80007;"Bela Vista";2019;"00 a 03 anos";3.120
80007;"Bela Vista";2019;"04 a 05 anos";1.712
80007;"Bela Vista";2019;"06 anos";823
80007;"Bela Vista";2019;"07 a 10 anos";2.833
80007;"Bela Vista";2019;"11 a 14 anos";2.068
80007;"Bela Vista";2019;"15 a 17 anos";1.523
80007;"Bela Vista";2019;"18 a 19 anos";1.054
80007;"Bela Vista";2019;"Total da Seleção";13.133
80007;"Bela Vista";2019;"Total Geral da População";72.925
80008;"Belém";2019;"00 a 03 anos";2.978
80008;"Belém";2019;"04 a 05 anos";1.711
80008;"Belém";2019;"06 anos";827
80008;"Belém";2019;"07 a 10 anos";2.798
80008;"Belém";2019;"11 a 14 anos";1.940
80008;"Belém";2019;"15 a 17 anos";1.470
80008;"Belém";2019;"18 a 19 anos";1.022
80008;"Belém";2019;"Total da Seleção";12.746
80008;"Belém";2019;"Total Geral da População";48.850
80009;"Bom Retiro";2019;"00 a 03 anos";2.221
80009;"Bom Retiro";2019;"04 a 05 anos";1.233
80009;"Bom Retiro";2019;"06 anos";602
80009;"Bom Retiro";2019;"07 a 10 anos";2.140
80009;"Bom Retiro";2019;"11 a 14 anos";1.710
80009;"Bom Retiro";2019;"15 a 17 anos";1.332
80009;"Bom Retiro";2019;"18 a 19 anos";935
80009;"Bom Retiro";2019;"Total da Seleção";10.173
80009;"Bom Retiro";2019;"Total Geral da População";38.449
80010;"Brás";2019;"00 a 03 anos";2.042
80010;"Brás";2019;"04 a 05 anos";1.181
80010;"Brás";2019;"06 anos";566
80010;"Brás";2019;"07 a 10 anos";1.889
80010;"Brás";2019;"11 a 14 anos";1.286
80010;"Brás";2019;"15 a 17 anos";1.057
80010;"Brás";2019;"18 a 19 anos";759
80010;"Brás";2019;"Total da Seleção";8.780
80010;"Brás";2019;"Total Geral da População";32.711
80011;"Brasilândia";2019;"00 a 03 anos";18.325
80011;"Brasilândia";2019;"04 a 05 anos";9.597
80011;"Brasilândia";2019;"06 anos";4.655
80011;"Brasilândia";2019;"07 a 10 anos";16.932
80011;"Brasilândia";2019;"11 a 14 anos";14.874
80011;"Brasilândia";2019;"15 a 17 anos";12.625
80011;"Brasilândia";2019;"18 a 19 anos";9.249
80011;"Brasilândia";2019;"Total da Seleção";86.257
80011;"Brasilândia";2019;"Total Geral da População";280.278
80012;"Butantã";2019;"00 a 03 anos";2.072
80012;"Butantã";2019;"04 a 05 anos";1.136
80012;"Butantã";2019;"06 anos";560
80012;"Butantã";2019;"07 a 10 anos";2.068
80012;"Butantã";2019;"11 a 14 anos";1.789
80012;"Butantã";2019;"15 a 17 anos";1.394
80012;"Butantã";2019;"18 a 19 anos";981
80012;"Butantã";2019;"Total da Seleção";10.000
80012;"Butantã";2019;"Total Geral da População";53.904
80013;"Cachoeirinha";2019;"00 a 03 anos";8.670
80013;"Cachoeirinha";2019;"04 a 05 anos";4.636
80013;"Cachoeirinha";2019;"06 anos";2.271
80013;"Cachoeirinha";2019;"07 a 10 anos";8.392
80013;"Cachoeirinha";2019;"11 a 14 anos";7.440
80013;"Cachoeirinha";2019;"15 a 17 anos";6.085
80013;"Cachoeirinha";2019;"18 a 19 anos";4.395
80013;"Cachoeirinha";2019;"Total da Seleção";41.889
80013;"Cachoeirinha";2019;"Total Geral da População";146.039
80014;"Cambuci";2019;"00 a 03 anos";1.909
80014;"Cambuci";2019;"04 a 05 anos";1.047
80014;"Cambuci";2019;"06 anos";518
80014;"Cambuci";2019;"07 a 10 anos";1.942
80014;"Cambuci";2019;"11 a 14 anos";1.709
80014;"Cambuci";2019;"15 a 17 anos";1.296
80014;"Cambuci";2019;"18 a 19 anos";900
80014;"Cambuci";2019;"Total da Seleção";9.321
80014;"Cambuci";2019;"Total Geral da População";40.357
80015;"Campo Belo";2019;"00 a 03 anos";2.523
80015;"Campo Belo";2019;"04 a 05 anos";1.406
80015;"Campo Belo";2019;"06 anos";700
80015;"Campo Belo";2019;"07 a 10 anos";2.650
80015;"Campo Belo";2019;"11 a 14 anos";2.356
80015;"Campo Belo";2019;"15 a 17 anos";1.782
80015;"Campo Belo";2019;"18 a 19 anos";1.215
80015;"Campo Belo";2019;"Total da Seleção";12.632
80015;"Campo Belo";2019;"Total Geral da População";63.962
80016;"Campo Grande";2019;"00 a 03 anos";4.440
80016;"Campo Grande";2019;"04 a 05 anos";2.419
80016;"Campo Grande";2019;"06 anos";1.217
80016;"Campo Grande";2019;"07 a 10 anos";4.765
80016;"Campo Grande";2019;"11 a 14 anos";4.579
80016;"Campo Grande";2019;"15 a 17 anos";3.560
80016;"Campo Grande";2019;"18 a 19 anos";2.530
80016;"Campo Grande";2019;"Total da Seleção";23.510
80016;"Campo Grande";2019;"Total Geral da População";106.227
80017;"Campo Limpo";2019;"00 a 03 anos";12.744
80017;"Campo Limpo";2019;"04 a 05 anos";6.665
80017;"Campo Limpo";2019;"06 anos";3.296
80017;"Campo Limpo";2019;"07 a 10 anos";12.610
80017;"Campo Limpo";2019;"11 a 14 anos";11.874
80017;"Campo Limpo";2019;"15 a 17 anos";9.421
80017;"Campo Limpo";2019;"18 a 19 anos";6.790
80017;"Campo Limpo";2019;"Total da Seleção";63.400
80017;"Campo Limpo";2019;"Total Geral da População";227.235
80018;"Cangaiba";2019;"00 a 03 anos";7.353
80018;"Cangaiba";2019;"04 a 05 anos";3.934
80018;"Cangaiba";2019;"06 anos";1.921
80018;"Cangaiba";2019;"07 a 10 anos";7.053
80018;"Cangaiba";2019;"11 a 14 anos";6.218
80018;"Cangaiba";2019;"15 a 17 anos";5.160
80018;"Cangaiba";2019;"18 a 19 anos";3.811
80018;"Cangaiba";2019;"Total da Seleção";35.450
80018;"Cangaiba";2019;"Total Geral da População";137.923
80019;"Capão Redondo";2019;"00 a 03 anos";17.595
80019;"Capão Redondo";2019;"04 a 05 anos";9.178
80019;"Capão Redondo";2019;"06 anos";4.496
80019;"Capão Redondo";2019;"07 a 10 anos";16.821
80019;"Capão Redondo";2019;"11 a 14 anos";15.429
80019;"Capão Redondo";2019;"15 a 17 anos";12.725
80019;"Capão Redondo";2019;"18 a 19 anos";9.228
80019;"Capão Redondo";2019;"Total da Seleção";85.472
80019;"Capão Redondo";2019;"Total Geral da População";293.651
80020;"Carrão";2019;"00 a 03 anos";3.350
80020;"Carrão";2019;"04 a 05 anos";1.812
80020;"Carrão";2019;"06 anos";901
80020;"Carrão";2019;"07 a 10 anos";3.451
80020;"Carrão";2019;"11 a 14 anos";3.259
80020;"Carrão";2019;"15 a 17 anos";2.676
80020;"Carrão";2019;"18 a 19 anos";1.951
80020;"Carrão";2019;"Total da Seleção";17.400
80020;"Carrão";2019;"Total Geral da População";84.831
80021;"Casa Verde";2019;"00 a 03 anos";4.243
80021;"Casa Verde";2019;"04 a 05 anos";2.311
80021;"Casa Verde";2019;"06 anos";1.133
80021;"Casa Verde";2019;"07 a 10 anos";4.144
80021;"Casa Verde";2019;"11 a 14 anos";3.567
80021;"Casa Verde";2019;"15 a 17 anos";2.880
80021;"Casa Verde";2019;"18 a 19 anos";2.071
80021;"Casa Verde";2019;"Total da Seleção";20.349
80021;"Casa Verde";2019;"Total Geral da População";86.007
80022;"Cidade Ademar";2019;"00 a 03 anos";16.529
80022;"Cidade Ademar";2019;"04 a 05 anos";8.738
80022;"Cidade Ademar";2019;"06 anos";4.278
80022;"Cidade Ademar";2019;"07 a 10 anos";15.846
80022;"Cidade Ademar";2019;"11 a 14 anos";14.127
80022;"Cidade Ademar";2019;"15 a 17 anos";11.436
80022;"Cidade Ademar";2019;"18 a 19 anos";8.260
80022;"Cidade Ademar";2019;"Total da Seleção";79.214
80022;"Cidade Ademar";2019;"Total Geral da População";283.949
80023;"Cidade Dutra";2019;"00 a 03 anos";10.895
80023;"Cidade Dutra";2019;"04 a 05 anos";5.763
80023;"Cidade Dutra";2019;"06 anos";2.829
80023;"Cidade Dutra";2019;"07 a 10 anos";10.589
80023;"Cidade Dutra";2019;"11 a 14 anos";9.729
80023;"Cidade Dutra";2019;"15 a 17 anos";8.131
80023;"Cidade Dutra";2019;"18 a 19 anos";5.946
80023;"Cidade Dutra";2019;"Total da Seleção";53.882
80023;"Cidade Dutra";2019;"Total Geral da População";202.297
80024;"Cidade Lider";2019;"00 a 03 anos";7.132
80024;"Cidade Lider";2019;"04 a 05 anos";3.729
80024;"Cidade Lider";2019;"06 anos";1.837
80024;"Cidade Lider";2019;"07 a 10 anos";6.969
80024;"Cidade Lider";2019;"11 a 14 anos";6.551
80024;"Cidade Lider";2019;"15 a 17 anos";5.407
80024;"Cidade Lider";2019;"18 a 19 anos";3.921
80024;"Cidade Lider";2019;"Total da Seleção";35.546
80024;"Cidade Lider";2019;"Total Geral da População";134.425
80025;"Cidade Tiradentes";2019;"00 a 03 anos";14.430
80025;"Cidade Tiradentes";2019;"04 a 05 anos";7.185
80025;"Cidade Tiradentes";2019;"06 anos";3.531
80025;"Cidade Tiradentes";2019;"07 a 10 anos";13.682
80025;"Cidade Tiradentes";2019;"11 a 14 anos";13.630
80025;"Cidade Tiradentes";2019;"15 a 17 anos";11.551
80025;"Cidade Tiradentes";2019;"18 a 19 anos";8.388
