"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80012;"Butantã";2018;"07 a 10 anos";2.001
80012;"Butantã";2018;"11 a 14 anos";1.808
80012;"Butantã";2018;"15 a 17 anos";1.422
80012;"Butantã";2018;"18 a 19 anos";999
80012;"Butantã";2018;"Total da Seleção";10.009
80012;"Butantã";2018;"Total Geral da População";53.970
80013;"Cachoeirinha";2018;"00 a 03 anos";8.949
80013;"Cachoeirinha";2018;"04 a 05 anos";4.479
80013;"Cachoeirinha";2018;"06 anos";2.181
80013;"Cachoeirinha";2018;"07 a 10 anos";8.202
80013;"Cachoeirinha";2018;"11 a 14 anos";7.677
80013;"Cachoeirinha";2018;"15 a 17 anos";6.337
80013;"Cachoeirinha";2018;"18 a 19 anos";4.504
80013;"Cachoeirinha";2018;"Total da Seleção";42.329
80013;"Cachoeirinha";2018;"Total Geral da População";145.688
80014;"Cambuci";2018;"00 a 03 anos";1.964
80014;"Cambuci";2018;"04 a 05 anos";1.014
80014;"Cambuci";2018;"06 anos";498
80014;"Cambuci";2018;"07 a 10 anos";1.871
80014;"Cambuci";2018;"11 a 14 anos";1.697
80014;"Cambuci";2018;"15 a 17 anos";1.307
80014;"Cambuci";2018;"18 a 19 anos";902
80014;"Cambuci";2018;"Total da Seleção";9.253
80014;"Cambuci";2018;"Total Geral da População";40.049
80015;"Campo Belo";2018;"00 a 03 anos";2.625
80015;"Campo Belo";2018;"04 a 05 anos";1.378
80015;"Campo Belo";2018;"06 anos";680
80015;"Campo Belo";2018;"07 a 10 anos";2.585
80015;"Campo Belo";2018;"11 a 14 anos";2.364
80015;"Campo Belo";2018;"15 a 17 anos";1.800
80015;"Campo Belo";2018;"18 a 19 anos";1.224
80015;"Campo Belo";2018;"Total da Seleção";12.656
80015;"Campo Belo";2018;"Total Geral da População";64.180
80016;"Campo Grande";2018;"00 a 03 anos";4.561
80016;"Campo Grande";2018;"04 a 05 anos";2.399
80016;"Campo Grande";2018;"06 anos";1.200
80016;"Campo Grande";2018;"07 a 10 anos";4.706
80016;"Campo Grande";2018;"11 a 14 anos";4.602
80016;"Campo Grande";2018;"15 a 17 anos";3.664
80016;"Campo Grande";2018;"18 a 19 anos";2.582
80016;"Campo Grande";2018;"Total da Seleção";23.714
80016;"Campo Grande";2018;"Total Geral da População";105.734
80017;"Campo Limpo";2018;"00 a 03 anos";12.984
80017;"Campo Limpo";2018;"04 a 05 anos";6.554
80017;"Campo Limpo";2018;"06 anos";3.229
80017;"Campo Limpo";2018;"07 a 10 anos";12.449
80017;"Campo Limpo";2018;"11 a 14 anos";12.069
80017;"Campo Limpo";2018;"15 a 17 anos";9.816
80017;"Campo Limpo";2018;"18 a 19 anos";6.937
80017;"Campo Limpo";2018;"Total da Seleção";64.038
80017;"Campo Limpo";2018;"Total Geral da População";225.585
80018;"Cangaiba";2018;"00 a 03 anos";7.582
80018;"Cangaiba";2018;"04 a 05 anos";3.783
80018;"Cangaiba";2018;"06 anos";1.836
80018;"Cangaiba";2018;"07 a 10 anos";6.870
80018;"Cangaiba";2018;"11 a 14 anos";6.436
80018;"Cangaiba";2018;"15 a 17 anos";5.432
80018;"Cangaiba";2018;"18 a 19 anos";3.931
80018;"Cangaiba";2018;"Total da Seleção";35.870
80018;"Cangaiba";2018;"Total Geral da População";137.737
80019;"Capão Redondo";2018;"00 a 03 anos";17.935
80019;"Capão Redondo";2018;"04 a 05 anos";8.879
80019;"Capão Redondo";2018;"06 anos";4.332
80019;"Capão Redondo";2018;"07 a 10 anos";16.492
80019;"Capão Redondo";2018;"11 a 14 anos";15.869
80019;"Capão Redondo";2018;"15 a 17 anos";13.221
