"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80001;"Água Rasa";2014;"00 a 03 anos";3.871
80001;"Água Rasa";2014;"04 a 05 anos";1.632
80001;"Água Rasa";2014;"06 anos";783
80001;"Água Rasa";2014;"07 a 10 anos";3.114
80001;"Água Rasa";2014;"11 a 14 anos";3.360
80001;"Água Rasa";2014;"15 a 17 anos";2.775
80001;"Água Rasa";2014;"18 a 19 anos";1.970
80001;"Água Rasa";2014;"Total da Seleção";17.505
80001;"Água Rasa";2014;"Total Geral da População";84.168
80002;"Alto de Pinheiros";2014;"00 a 03 anos";1.420
80002;"Alto de Pinheiros";2014;"04 a 05 anos";698
80002;"Alto de Pinheiros";2014;"06 anos";346
80002;"Alto de Pinheiros";2014;"07 a 10 anos";1.386
80002;"Alto de Pinheiros";2014;"11 a 14 anos";1.451
80002;"Alto de Pinheiros";2014;"15 a 17 anos";1.202
80002;"Alto de Pinheiros";2014;"18 a 19 anos";873
80002;"Alto de Pinheiros";2014;"Total da Seleção";7.376
80002;"Alto de Pinheiros";2014;"Total Geral da População";42.318
80003;"Anhanguera";2014;"00 a 03 anos";4.468
80003;"Anhanguera";2014;"04 a 05 anos";2.112
80003;"Anhanguera";2014;"06 anos";1.058
80003;"Anhanguera";2014;"07 a 10 anos";4.402
80003;"Anhanguera";2014;"11 a 14 anos";4.919
80003;"Anhanguera";2014;"15 a 17 anos";4.202
80003;"Anhanguera";2014;"18 a 19 anos";2.882
80003;"Anhanguera";2014;"Total da Seleção";24.043
80003;"Anhanguera";2014;"Total Geral da População";74.057
80004;"Aricanduva";2014;"00 a 03 anos";4.330
80004;"Aricanduva";2014;"04 a 05 anos";1.963
80004;"Aricanduva";2014;"06 anos";972
80004;"Aricanduva";2014;"07 a 10 anos";4.008
80004;"Aricanduva";2014;"11 a 14 anos";4.445
80004;"Aricanduva";2014;"15 a 17 anos";3.727
80004;"Aricanduva";2014;"18 a 19 anos";2.549
80004;"Aricanduva";2014;"Total da Seleção";21.994
80004;"Aricanduva";2014;"Total Geral da População";87.887
80005;"Artur Alvim";2014;"00 a 03 anos";5.143
80005;"Artur Alvim";2014;"04 a 05 anos";2.391
80005;"Artur Alvim";2014;"06 anos";1.180
80005;"Artur Alvim";2014;"07 a 10 anos";4.778
80005;"Artur Alvim";2014;"11 a 14 anos";5.159
80005;"Artur Alvim";2014;"15 a 17 anos";4.357
80005;"Artur Alvim";2014;"18 a 19 anos";3.006
80005;"Artur Alvim";2014;"Total da Seleção";26.014
80005;"Artur Alvim";2014;"Total Geral da População";103.127
80006;"Barra Funda";2014;"00 a 03 anos";800
80006;"Barra Funda";2014;"04 a 05 anos";321
80006;"Barra Funda";2014;"06 anos";149
80006;"Barra Funda";2014;"07 a 10 anos";565
80006;"Barra Funda";2014;"11 a 14 anos";563
80006;"Barra Funda";2014;"15 a 17 anos";424
80006;"Barra Funda";2014;"18 a 19 anos";299
80006;"Barra Funda";2014;"Total da Seleção";3.121
80006;"Barra Funda";2014;"Total Geral da População";15.033
80007;"Bela Vista";2014;"00 a 03 anos";3.227
80007;"Bela Vista";2014;"04 a 05 anos";1.226
80007;"Bela Vista";2014;"06 anos";552
80007;"Bela Vista";2014;"07 a 10 anos";2.013
80007;"Bela Vista";2014;"11 a 14 anos";2.004
80007;"Bela Vista";2014;"15 a 17 anos";1.634
80007;"Bela Vista";2014;"18 a 19 anos";1.234
80007;"Bela Vista";2014;"Total da Seleção";11.890
80007;"Bela Vista";2014;"Total Geral da População";71.225
80008;"Belém";2014;"00 a 03 anos";3.255
80008;"Belém";2014;"04 a 05 anos";1.170
80008;"Belém";2014;"06 anos";523
80008;"Belém";2014;"07 a 10 anos";1.917
80008;"Belém";2014;"11 a 14 anos";1.957
80008;"Belém";2014;"15 a 17 anos";1.557
80008;"Belém";2014;"18 a 19 anos";1.080
80008;"Belém";2014;"Total da Seleção";11.459
80008;"Belém";2014;"Total Geral da População";46.929
80009;"Bom Retiro";2014;"00 a 03 anos";2.367
80009;"Bom Retiro";2014;"04 a 05 anos";941
80009;"Bom Retiro";2014;"06 anos";438
80009;"Bom Retiro";2014;"07 a 10 anos";1.681
80009;"Bom Retiro";2014;"11 a 14 anos";1.743
80009;"Bom Retiro";2014;"15 a 17 anos";1.389
80009;"Bom Retiro";2014;"18 a 19 anos";971
80009;"Bom Retiro";2014;"Total da Seleção";9.530
80009;"Bom Retiro";2014;"Total Geral da População";36.165
80010;"Brás";2014;"00 a 03 anos";2.260
80010;"Brás";2014;"04 a 05 anos";777
80010;"Brás";2014;"06 anos";346
80010;"Brás";2014;"07 a 10 anos";1.321
80010;"Brás";2014;"11 a 14 anos";1.450
80010;"Brás";2014;"15 a 17 anos";1.154
80010;"Brás";2014;"18 a 19 anos";813
80010;"Brás";2014;"Total da Seleção";8.121
80010;"Brás";2014;"Total Geral da População";30.953
80011;"Brasilândia";2014;"00 a 03 anos";19.213
80011;"Brasilândia";2014;"04 a 05 anos";7.945
80011;"Brasilândia";2014;"06 anos";3.852
80011;"Brasilândia";2014;"07 a 10 anos";15.911
80011;"Brasilândia";2014;"11 a 14 anos";18.045
80011;"Brasilândia";2014;"15 a 17 anos";14.875
80011;"Brasilândia";2014;"18 a 19 anos";9.947
