"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80001;"Água Rasa";2013;"00 a 03 anos";3.689
80001;"Água Rasa";2013;"04 a 05 anos";1.619
80001;"Água Rasa";2013;"06 anos";788
80001;"Água Rasa";2013;"07 a 10 anos";3.189
80001;"Água Rasa";2013;"11 a 14 anos";3.465
80001;"Água Rasa";2013;"15 a 17 anos";2.812
80001;"Água Rasa";2013;"18 a 19 anos";2.011
80001;"Água Rasa";2013;"Total da Seleção";17.573
80001;"Água Rasa";2013;"Total Geral da População";84.373
80002;"Alto de Pinheiros";2013;"00 a 03 anos";1.422
80002;"Alto de Pinheiros";2013;"04 a 05 anos";696
80002;"Alto de Pinheiros";2013;"06 anos";348
80002;"Alto de Pinheiros";2013;"07 a 10 anos";1.408
80002;"Alto de Pinheiros";2013;"11 a 14 anos";1.499
80002;"Alto de Pinheiros";2013;"15 a 17 anos";1.235
80002;"Alto de Pinheiros";2013;"18 a 19 anos";905
80002;"Alto de Pinheiros";2013;"Total da Seleção";7.513
80002;"Alto de Pinheiros";2013;"Total Geral da População";42.521
80003;"Anhanguera";2013;"00 a 03 anos";4.371
80003;"Anhanguera";2013;"04 a 05 anos";2.087
80003;"Anhanguera";2013;"06 anos";1.056
80003;"Anhanguera";2013;"07 a 10 anos";4.478
80003;"Anhanguera";2013;"11 a 14 anos";5.013
80003;"Anhanguera";2013;"15 a 17 anos";4.045
80003;"Anhanguera";2013;"18 a 19 anos";2.755
80003;"Anhanguera";2013;"Total da Seleção";23.805
80003;"Anhanguera";2013;"Total Geral da População";71.839
80004;"Aricanduva";2013;"00 a 03 anos";4.264
80004;"Aricanduva";2013;"04 a 05 anos";1.985
80004;"Aricanduva";2013;"06 anos";995
80004;"Aricanduva";2013;"07 a 10 anos";4.172
80004;"Aricanduva";2013;"11 a 14 anos";4.634
80004;"Aricanduva";2013;"15 a 17 anos";3.719
80004;"Aricanduva";2013;"18 a 19 anos";2.555
80004;"Aricanduva";2013;"Total da Seleção";22.324
80004;"Aricanduva";2013;"Total Geral da População";88.334
80005;"Artur Alvim";2013;"00 a 03 anos";5.103
80005;"Artur Alvim";2013;"04 a 05 anos";2.397
80005;"Artur Alvim";2013;"06 anos";1.197
80005;"Artur Alvim";2013;"07 a 10 anos";4.941
80005;"Artur Alvim";2013;"11 a 14 anos";5.390
80005;"Artur Alvim";2013;"15 a 17 anos";4.371
80005;"Artur Alvim";2013;"18 a 19 anos";3.027
80005;"Artur Alvim";2013;"Total da Seleção";26.426
80005;"Artur Alvim";2013;"Total Geral da População";103.676
80006;"Barra Funda";2013;"00 a 03 anos";742
80006;"Barra Funda";2013;"04 a 05 anos";312
80006;"Barra Funda";2013;"06 anos";147
80006;"Barra Funda";2013;"07 a 10 anos";559
80006;"Barra Funda";2013;"11 a 14 anos";554
80006;"Barra Funda";2013;"15 a 17 anos";421
80006;"Barra Funda";2013;"18 a 19 anos";307
80006;"Barra Funda";2013;"Total da Seleção";3.042
80006;"Barra Funda";2013;"Total Geral da População";14.865
80007;"Bela Vista";2013;"00 a 03 anos";2.945
80007;"Bela Vista";2013;"04 a 05 anos";1.166
80007;"Bela Vista";2013;"06 anos";536
80007;"Bela Vista";2013;"07 a 10 anos";2.002
80007;"Bela Vista";2013;"11 a 14 anos";2.043
80007;"Bela Vista";2013;"15 a 17 anos";1.676
80007;"Bela Vista";2013;"18 a 19 anos";1.335
80007;"Bela Vista";2013;"Total da Seleção";11.703
80007;"Bela Vista";2013;"Total Geral da População";70.770
80008;"Belém";2013;"00 a 03 anos";2.920
80008;"Belém";2013;"04 a 05 anos";1.110
80008;"Belém";2013;"06 anos";509
80008;"Belém";2013;"07 a 10 anos";1.926
80008;"Belém";2013;"11 a 14 anos";1.986
80008;"Belém";2013;"15 a 17 anos";1.544
80008;"Belém";2013;"18 a 19 anos";1.103
80008;"Belém";2013;"Total da Seleção";11.098
80008;"Belém";2013;"Total Geral da População";46.445
80009;"Bom Retiro";2013;"00 a 03 anos";2.195
80009;"Bom Retiro";2013;"04 a 05 anos";908
80009;"Bom Retiro";2013;"06 anos";432
80009;"Bom Retiro";2013;"07 a 10 anos";1.688
80009;"Bom Retiro";2013;"11 a 14 anos";1.758
80009;"Bom Retiro";2013;"15 a 17 anos";1.365
80009;"Bom Retiro";2013;"18 a 19 anos";981
80009;"Bom Retiro";2013;"Total da Seleção";9.327
80009;"Bom Retiro";2013;"Total Geral da População";35.567
80010;"Brás";2013;"00 a 03 anos";2.004
80010;"Brás";2013;"04 a 05 anos";747
80010;"Brás";2013;"06 anos";347
80010;"Brás";2013;"07 a 10 anos";1.355
80010;"Brás";2013;"11 a 14 anos";1.476
80010;"Brás";2013;"15 a 17 anos";1.152
80010;"Brás";2013;"18 a 19 anos";834
80010;"Brás";2013;"Total da Seleção";7.915
80010;"Brás";2013;"Total Geral da População";30.516
80011;"Brasilândia";2013;"00 a 03 anos";18.326
80011;"Brasilândia";2013;"04 a 05 anos";7.982
80011;"Brasilândia";2013;"06 anos";3.952
80011;"Brasilândia";2013;"07 a 10 anos";16.617
80011;"Brasilândia";2013;"11 a 14 anos";18.687
80011;"Brasilândia";2013;"15 a 17 anos";14.662
80011;"Brasilândia";2013;"18 a 19 anos";9.790
80011;"Brasilândia";2013;"Total da Seleção";90.016
80011;"Brasilândia";2013;"Total Geral da População";270.012
80012;"Butantã";2013;"00 a 03 anos";2.164
80012;"Butantã";2013;"04 a 05 anos";960
80012;"Butantã";2013;"06 anos";464
80012;"Butantã";2013;"07 a 10 anos";1.843
80012;"Butantã";2013;"11 a 14 anos";1.934
80012;"Butantã";2013;"15 a 17 anos";1.544
80012;"Butantã";2013;"18 a 19 anos";1.150
80012;"Butantã";2013;"Total da Seleção";10.059
80012;"Butantã";2013;"Total Geral da População";54.177
80013;"Cachoeirinha";2013;"00 a 03 anos";9.108
80013;"Cachoeirinha";2013;"04 a 05 anos";4.051
